"time","C","I","G"
0,1521.25,535,300
0.2,1517.638502214074,534.0971255535185,300
0.4,1514.1511686169688,533.2252921542422,300
0.6,1510.7838940769263,532.3834735192315,300
0.8,1507.532457557884,531.570614389471,300
1,1504.3928173198249,530.7857043299562,300
1.2,1501.3611425641534,530.0277856410382,300
1.4,1498.43376362815,529.2959409070374,300
1.6,1495.6070814044288,528.5892703511072,300
1.8,1492.8776304169264,527.9069076042316,300
2,1490.2420563581309,527.2480140895327,300
2.2,1487.6971338581702,526.6117834645426,300
2.4,1485.2397388405523,525.9974347101381,300
2.6,1482.866858571971,525.4042146429927,300
2.8,1480.5755874773322,524.831396869333,300
3,1478.3631274623315,524.2782818655828,300
3.2,1476.2267602253637,523.7441900563408,300
3.4,1474.163877184277,523.2284692960692,300
3.6,1472.1719444470104,522.7304861117526,300
3.8,1470.248526256943,522.2496315642358,300
4,1468.39126264125,521.7853156603126,300
4.2,1466.597881513072,521.336970378268,300
4.4,1464.8661844465616,520.9040461116404,300
4.6,1463.1940503721694,520.4860125930422,300
4.8,1461.57942917741,520.0823572943525,300
5,1460.0203433533127,519.6925858383281,300
5.2,1458.514881637599,519.3162204093998,300
5.4,1457.0611996101602,518.9527999025399,300
5.6,1455.6575159249198,518.6018789812299,300
5.8,1454.3021114197204,518.26302785493,300
6,1452.9933259441552,517.9358314860388,300
6.2,1451.7295566645587,517.6198891661396,300
6.4,1450.509255436317,517.3148138590792,300
6.6,1449.3309269098352,517.0202317274587,300
6.8,1448.1931264036925,516.735781600923,300
7,1447.0944579221473,516.4611144805367,300
7.2,1446.0335822057516,516.1958955514378,300
7.4,1445.0091957374273,515.9397989343568,300
7.6,1444.0200419865823,515.6925104966456,300
7.8,1443.064909284403,515.4537273211008,300
8,1442.142631102322,515.2231577755804,300
8.2,1441.2520736625916,515.0005184156479,300
8.4,1440.3921433341213,514.7855358335303,300
8.6,1439.5617910717315,514.5779477679328,300
8.8,1438.7599998627709,514.3774999656927,300
9,1437.9857843364537,514.1839460841134,300
9.2,1437.238194157424,513.997048539356,300
9.4,1436.516320276148,513.816580069037,300
9.6,1435.8192744759378,513.6423186189845,300
9.8,1435.1462016018982,513.4740504004744,300
10,1434.4962776369525,513.311569409238,300
10.2,1433.8687097907534,513.1546774476883,300
10.4,1433.2627264126377,513.0031816031594,300
10.6,1432.6775836393667,512.8568959098417,300
10.8,1432.1125677112832,512.7156419278208,300
11,1431.566986421275,512.5792466053188,300
11.2,1431.0401693557792,512.4475423389447,300
11.4,1430.5314697946271,512.3203674486567,300
11.6,1430.0402694172685,512.1975673543171,300
11.8,1429.5659634743156,512.0789908685788,300
12,1429.1079697968812,511.9644924492202,300
12.2,1428.6657277347629,511.85393193369066,300
12.4,1428.238698072646,511.7471745181615,300
12.6,1427.8263554370146,511.64408885925354,300
12.8,1427.428193601753,511.5445484004382,300
13,1427.0437270293928,511.4484317573482,300
13.2,1426.6724846227387,511.35562115568473,300
13.4,1426.3140103202668,511.2660025800667,300
13.6,1425.9678642332206,511.17946605830514,300
13.8,1425.6336253015747,511.09590632539357,300
14,1425.3108822533516,511.01522056333783,300
14.2,1424.999239023856,510.93730975596395,300
14.4,1424.6983141844987,510.8620785461246,300
14.6,1424.407740654225,510.78943516355616,300
14.8,1424.1271610091906,510.7192902522976,300
15,1423.8562307426394,510.6515576856598,300
15.2,1423.5946195898616,510.58615489746535,300
15.4,1423.3420068677754,510.5230017169438,300
15.6,1423.098082207921,510.46202055198023,300
15.8,1422.862546269198,510.4031365672995,300
16,1422.6351126179113,510.3462781544778,300
16.2,1422.4155013329657,510.2913753332414,300
16.4,1422.203442898468,510.238360724617,300
16.6,1421.9986778124303,510.1871694531076,300
16.8,1421.800956253886,510.1377390634714,300
17,1421.6100350404301,510.0900087601075,300
17.2,1421.425679775334,510.04391994383343,300
17.4,1421.247665746714,509.99941643667853,300
17.6,1421.0757746922532,509.9564436730632,300
17.8,1420.9097954630593,509.9149488657648,300
18,1420.7495244060296,509.8748811015074,300
18.2,1420.5947665685421,509.83619164213553,300
18.4,1420.4453314912832,509.79883287282087,300
18.6,1420.3010357705066,509.76275894262653,300
18.8,1420.1617028574547,509.72792571436366,300
19,1420.0271627344325,509.6942906836081,300
19.2,1419.897249918166,509.66181247954137,300
19.4,1419.7718048977931,509.6304512244483,300
19.6,1419.650674817216,509.600168704304,300
19.8,1419.5337111109648,509.5709277777412,300
20,1419.4207701097052,509.5426925274262,300
20.2,1419.3117132532657,509.5154283133163,300
20.4,1419.2064078691385,509.48910196728457,300
20.6,1419.1047243650091,509.4636810912523,300
20.8,1419.0065379460766,509.43913448651915,300
21,1418.911728499241,509.4154321248102,300
21.2,1418.8201803066024,509.39254507665055,300
21.4,1418.7317807769114,509.37044519422784,300
21.6,1418.6464213705635,509.34910534264077,300
21.8,1418.5639980983576,509.32849952458946,300
22,1418.4844098371168,509.3086024592792,300
22.2,1418.4075588344222,509.28938970860554,300
22.4,1418.3333508160565,509.2708377040142,300
22.6,1418.2616954973819,509.25292387434547,300
22.8,1418.1925046946358,509.23562617365883,300
23,1418.1256934872015,509.2189233718003,300
23.2,1418.0611801582643,509.2027950395661,300
23.4,1417.9988859527566,509.18722148818915,300
23.6,1417.938734259766,509.1721835649414,300
23.8,1417.8806512218084,509.157662805452,300
24,1417.8245664543394,509.1436416135848,300
24.2,1417.7704112785273,509.1301028196317,300
24.4,1417.7181194051125,509.1170298512782,300
24.6,1417.6676269162065,509.10440672905156,300
24.8,1417.6188720687283,509.09221801718195,300
25,1417.5717951981537,509.0804487995383,300
25.2,1417.5263386222628,509.0690846555657,300
25.4,1417.4824465667589,509.0581116416897,300
25.6,1417.440065045726,509.0475162614314,300
25.8,1417.3991417441653,509.0372854360412,300
26,1417.359625959884,509.0274064899709,300
26.2,1417.3214684941474,509.0178671235369,300
26.4,1417.2846215556142,509.00865538890355,300
26.6,1417.2490386642726,508.99975966606803,300
26.8,1417.2146843883331,508.9911710970832,300
27,1417.181512000397,508.9828780000993,300
27.2,1417.1494801806107,508.97487004515256,300
27.4,1417.1185493103972,508.9671373275992,300
27.6,1417.0886810031514,508.9596702507879,300
27.8,1417.059838035247,508.95245950881167,300
28,1417.0319874149402,508.945496853735,300
28.2,1417.0050959046066,508.93877397615165,300
28.4,1416.979128931513,508.93228223287815,300
28.6,1416.9540545503191,508.9260136375797,300
28.8,1416.929841835201,508.91996045880023,300
29,1416.9064608240417,508.91411520601037,300
29.2,1416.883883199955,508.9084707999888,300
29.4,1416.862083684224,508.90302092105594,300
29.6,1416.8410338947992,508.8977584736997,300
29.8,1416.8207079671347,508.8926769917837,300
30,1416.80108084617,508.8877702115425,300
30.2,1416.7821282387147,508.8830320596786,300
30.4,1416.7638265658277,508.87845664145686,300
30.6,1416.7461559161302,508.87403897903255,300
30.8,1416.7290934889254,508.8697733722313,300
31,1416.7126179853592,508.86565449633986,300
31.2,1416.6967090208063,508.8616772552016,300
31.4,1416.6813468085466,508.85783670213664,300
31.6,1416.6665121199292,508.85412802998235,300
31.8,1416.652188033735,508.85054700843375,300
32,1416.6383578534978,508.84708946337446,300
32.2,1416.625003394747,508.8437508486868,300
32.4,1416.6121081171507,508.8405270292876,300
32.6,1416.599655971227,508.83741399280666,300
32.8,1416.5876313671683,508.834407841792,300
33,1416.5760196170245,508.831504904256,300
33.2,1416.5648087176405,508.82870217941013,300
33.4,1416.5539833543726,508.82599583859314,300
33.6,1416.54353016938,508.8233825423449,300
33.8,1416.5334362208234,508.8208590552058,300
34,1416.5236889592293,508.8184222398073,300
34.2,1416.5142762038463,508.8160690509616,300
34.4,1416.5051878320028,508.8137969580007,300
34.6,1416.4964122330473,508.81160305826177,300
34.8,1416.487938365434,508.80948459135857,300
35,1416.4797557908978,508.80743894772445,300
35.2,1416.4718543976692,508.8054635994172,300
35.4,1416.4642243817252,508.8035560954313,300
35.6,1416.4568567887122,508.80171419717806,300
35.8,1416.4497430347044,508.79993575867604,300
36,1416.4428739413895,508.7982184853473,300
36.2,1416.436241052269,508.79656026306725,300
36.4,1416.4298361720332,508.79495904300825,300
36.6,1416.4236513509218,508.79341283773044,300
36.8,1416.4176789841954,508.79191974604873,300
37,1416.4119126571486,508.79047816428715,300
37.2,1416.4063446954833,508.7890861738708,300
37.4,1416.4009682323194,508.78774205807986,300
37.6,1416.39577660925,508.78644415231247,300
37.8,1416.3907633634785,508.7851908408695,300
38,1416.3859222149451,508.7839805537362,300
38.2,1416.3812479364549,508.7828119841138,300
38.4,1416.3767346389072,508.7816836597268,300
38.6,1416.372376563203,508.78059414080076,300
38.8,1416.3681683139926,508.779542078498,300
39,1416.3641046571092,508.7785261642773,300
39.2,1416.3601805094652,508.77754512736624,300
39.4,1416.35639128201,508.7765978205025,300
39.6,1416.3527327248548,508.7756831812137,300
39.8,1416.349199980627,508.77479999515674,300
40,1416.345788690382,508.7739471725954,300
40.2,1416.342494630193,508.77312365754824,300
40.4,1416.3393137033247,508.7723284258311,300
40.6,1416.3362419651337,508.7715604912835,300
40.8,1416.333276203292,508.77081905082287,300
41,1416.330412433157,508.7701031082893,300
41.2,1416.3276471317542,508.7694117829385,300
41.4,1416.324976887211,508.76874422180276,300
41.6,1416.3223983924938,508.7680995981234,300
41.8,1416.3199084391415,508.7674771097853,300
42,1416.3175042317603,508.76687605794007,300
42.2,1416.315182811671,508.76629570291766,300
42.4,1416.3129412297312,508.7657353074328,300
42.6,1416.3107767213255,508.76519418033126,300
42.8,1416.3086866061667,508.7646716515417,300
43,1416.3066682831357,508.76416707078386,300
43.2,1416.3047194159162,508.76367985397906,300
43.4,1416.3028379540315,508.76320948850787,300
43.6,1416.3010213765738,508.76275534414344,300
43.8,1416.2992674880693,508.7623168720173,300
44,1416.2975741684622,508.76189354211556,300
44.2,1416.2959393694196,508.7614848423548,300
44.4,1416.2943611106373,508.7610902776594,300
44.6,1416.2928374761443,508.760709369036,300
44.8,1416.291366610612,508.76034165265287,300
45,1416.2899467156528,508.75998667891315,300
45.2,1416.288576046134,508.7596440115335,300
45.4,1416.2872529064769,508.75931322661916,300
45.6,1416.2859756469652,508.7589939117413,300
45.8,1416.284742707056,508.7586856767639,300
46,1416.2835525208168,508.75838813020414,300
46.2,1416.2824035397086,508.7581008849272,300
46.4,1416.28129426769,508.7578235669225,300
46.6,1416.2802232369042,508.757555809226,300
46.8,1416.2791890040273,508.7572972510068,300
47,1416.2781901466096,508.7570475366524,300
