"time","I0","Ii","Iy"
0,300,-125,360
0.02,300,-128.16625603894815,359.9048680440323
0.04,300,-130.74249154184685,359.80405541645996
0.06,300,-132.8360824760879,359.69871662151644
0.08,300,-134.5346118671495,359.5897926718793
0.1,300,-135.90820810534638,359.4780364009413
0.12,300,-137.0154439678874,359.3640760104869
0.14,300,-137.9046292798044,359.24842901601244
0.16,300,-138.61512405854597,359.13151642459303
0.18,300,-139.17934682248472,359.01368439534895
0.2,300,-139.62357915503657,358.8952129169863
0.22,300,-139.96905839055475,358.7763275930972
0.24,300,-140.2335518689113,358.657216615159
0.26,300,-140.43199110347237,358.5380376048036
0.28,300,-140.57659718781917,358.41891896904207
0.3,300,-140.6771446992728,358.29996274723686
0.32,300,-140.74150769358087,358.18125049864256
0.34,300,-140.77626626558396,358.0628498431461
0.36,300,-140.786858181395,357.9448160970447
0.38,300,-140.7777694554909,357.82719432896243
0.4,300,-140.75262414754337,357.71002032870535
0.42,300,-140.71435369883878,357.59332243339276
0.44,300,-140.66539267377988,357.4771236380432
0.46,300,-140.60776493187365,357.36144252497644
0.48,300,-140.54304817315827,357.2462928820305
0.5,300,-140.4726465677752,357.1316866420391
0.52,300,-140.3978929591165,357.01763498447167
0.54,300,-140.31967573501805,356.9041443129244
0.56,300,-140.23859623598506,356.79121795240826
0.58,300,-140.15516535434762,356.6788582685953
0.6,300,-140.06998251784475,356.5670685985036
0.62,300,-139.98330800069763,356.4558486382209
0.64,300,-139.89559537732282,356.3452001844132
0.66,300,-139.8070549899088,356.23512242730493
0.68,300,-139.71797231617555,356.1256153832071
0.7,300,-139.62851994566648,356.0166778674736
0.72,300,-139.53887077621712,355.90830871450584
0.74,300,-139.44914894930085,355.80050624905834
0.76,300,-139.3594876573797,355.69326890880427
0.78,300,-139.2699600602691,355.58659450041023
0.8,300,-139.1806188607313,355.4804806256942
0.82,300,-139.0915202957423,355.3749249400399
0.84,300,-139.00272037140255,355.2699251118452
0.86,300,-138.91420098808194,355.16547802686165
0.88,300,-138.82594209021732,355.06158056527534
0.9,300,-138.73801309428694,354.95823058543226
0.92,300,-138.6505019508453,354.8554261604369
0.94,300,-138.56334268670255,354.75316372224034
0.96,300,-138.47652308667352,354.6514402966159
0.98,300,-138.39009150287558,354.5502535747492
1,300,-138.30409257660344,354.4496012230598
1.02,300,-138.21849576297976,354.34948011574164
1.04,300,-138.133301258601,354.2498874721501
1.06,300,-138.04853019542298,354.1508207486694
1.08,300,-137.9641978825394,354.05227735455964
1.1,300,-137.8802991364239,353.9542544961748
1.12,300,-137.7968374076165,353.85674948626695
1.14,300,-137.7138133829524,353.7597596185621
1.16,300,-137.63122704000617,353.6632821951971
1.18,300,-137.54907804907563,353.56731453208783
1.2,300,-137.46736425594315,353.47185393866704
1.22,300,-137.38608884409447,353.3768977895067
1.24,300,-137.30525088361452,353.28244343242
1.26,300,-137.22484576457978,353.18848819267527
1.28,300,-137.14486990994823,353.09502941882243
1.3,300,-137.0653189178677,353.00206446462886
1.32,300,-136.98618756167605,352.9095906890802
1.34,300,-136.90746978990106,352.8176054563799
1.36,300,-136.8291587262604,352.72610613594935
1.38,300,-136.75127686620377,352.63509041834783
1.4,300,-136.67381297304655,352.5445556550721
1.42,300,-136.59675636214413,352.4544992172412
1.44,300,-136.520102543007,352.3649185546259
1.46,300,-136.44384670865816,352.2758111275327
1.48,300,-136.36798373563272,352.1871744068042
1.5,300,-136.29250818397824,352.09900587381907
1.52,300,-136.21741429725458,352.0113030204921
1.54,300,-136.14273524410643,351.92406371128885
1.56,300,-136.0684515671873,351.837285338641
1.58,300,-135.99455614966573,351.75096542228
1.6,300,-135.92104672820832,351.66510154016885
1.62,300,-135.84792108221723,351.5796912841198
1.64,300,-135.77517703382966,351.4947322597956
1.66,300,-135.70281244791832,351.4102220867087
1.68,300,-135.63082523209104,351.32615839822176
1.7,300,-135.5592221040347,351.24253886166827
1.72,300,-135.4879968122469,351.1593611283694
1.74,300,-135.41714783864023,351.07662287426143
1.76,300,-135.34667412365064,350.99432179008494
1.78,300,-135.27657471062355,350.9124555805683
1.8,300,-135.20684874581386,350.8310219644282
1.82,300,-135.13749547838594,350.7500186743695
1.84,300,-135.06851371966133,350.6694434472176
1.86,300,-134.9998858870237,350.5892937327596
1.88,300,-134.93162099973685,350.5095674783112
1.9,300,-134.86371717157644,350.43026244429984
1.92,300,-134.79617250385476,350.3513764030362
1.94,300,-134.72898508542048,350.2729071387134
