"time","Md","Ms"
0,700,630
0.002,698.6138887743249,630
0.004,697.2551150356813,630
0.006,695.9228450520359,630
0.008,694.6170199059338,630
0.01,693.3366960234412,630
0.012,692.0820484847836,630
0.014,690.8519255286764,630
0.016,689.6464334441558,630
0.018,688.4645777936155,630
0.02,687.3063374134642,630
0.022,686.1711631919493,630
0.024,685.0584890071664,630
0.026,683.9680135107811,630
0.028,682.8993193635021,630
0.03,681.8518930185309,630
0.032,680.8252714768327,630
0.034,679.8190432853596,630
0.036,678.8327643281204,630
0.038,677.8660459703539,630
0.04,676.9184846406112,630
0.042,675.9896212894348,630
0.044,675.0790261154506,630
0.046,674.1864697898374,630
0.048,673.3117698554656,630
0.05,672.4544064053516,630
0.052,671.614013870692,630
0.054,670.7902266826837,630
0.056,669.9826902356772,630
0.058,669.1913791595878,630
0.06,668.4157663713228,630
0.062,667.6555177668131,630
0.064,666.9102992419898,630
0.066,666.1797766927838,630
0.068,665.4638034493612,630
0.07,664.7621120018612,630
0.072,664.0743024908151,630
0.074,663.4000675557945,630
0.076,662.7390998363717,630
0.078,662.091152520287,630
0.08,661.4562622270072,630
0.082,660.8339402329741,630
0.084,660.2239129556406,630
0.086,659.6259068124598,630
0.088,659.0396482208849,630
0.09,658.4651049099593,630
0.092,657.9019951074438,630
0.094,657.3500078068935,630
0.096,656.8088967054794,630
0.098,656.2784155003727,630
0.1,655.7583698110728,630
0.102,655.2486569409401,630
0.104,654.7489820621176,630
0.106,654.2591367405254,630
0.108,653.7789163452308,630
0.11,653.3081200484481,630
0.112,652.8466412872363,630
0.114,652.3942734299154,630
0.116,651.9508362387862,630
0.118,651.5161646422353,630
0.12,651.0900993238413,630
0.122,650.6724565951388,630
0.124,650.263046242478,630
0.126,649.8617399370276,630
0.128,649.4683865192219,630
0.13,649.0828391117075,630
0.132,648.7049546538531,630
0.134,648.3345190686989,630
0.136,647.9714247964613,630
0.138,647.6155286903787,630
0.14,647.266690498627,630
0.142,646.9247728643198,630
0.144,646.5896300389516,630
0.146,646.2611227909684,630
0.148,645.9391246672525,630
0.15,645.6235057401896,630
0.152,645.3141385711839,630
0.154,645.0108983843573,630
0.156,644.713664102381,630
0.158,644.4223152748436,630
0.16,644.1367347037358,630
0.162,643.8568077091223,630
0.164,643.5824221291431,630
0.166,643.3134683200122,630
0.168,643.0498391560188,630
0.17,642.7914300295257,630
0.172,642.5381388509712,630
0.174,642.2898660488677,630
0.176,642.046501809529,630
0.178,641.8079186185487,630
0.18,641.5740482368441,630
0.182,641.3447973435166,630
0.184,641.1200748627721,630
0.186,640.8997919639199,630
0.188,640.6838620613745,630
0.19,640.4722008146538,630
0.192,640.2647261283798,630
0.194,640.0613581522795,630
0.196,639.8620192811828,630
0.198,639.6666341550249,630
0.2,639.4751296588443,630
0.202,639.2873862039069,630
0.204,639.1032895242365,630
0.206,638.9228265341801,630
0.208,638.7459276650926,630
0.21,638.5725252973372,630
0.212,638.4025537602852,630
0.214,638.2359493323166,630
0.216,638.0726502408203,630
0.218,637.9125966621925,630
0.22,637.7557307218387,630
0.222,637.6019964941726,630
0.224,637.4513400026161,630
0.226,637.3037092195996,630
0.228,637.1589274918036,630
0.23,637.0169211997458,630
0.232,636.8777230516838,630
0.234,636.7412801348726,630
0.236,636.60754106917,630
0.238,636.476456007037,630
0.24,636.3479766335377,630
0.242,636.2220561663395,630
0.244,636.0986493557133,630
0.246,635.9777124845326,630
0.248,635.8592033682745,630
0.25,635.7430813550191,630
0.252,635.6293073254499,630
0.254,635.51768834384,630
0.256,635.408222428918,630
0.258,635.3009257287688,630
0.26,635.1957570916666,630
0.262,635.092676518591,630
0.264,634.991645163226,630
0.266,634.8926253319613,630
0.268,634.795580483891,630
0.27,634.7004752308145,630
0.272,634.6072753372365,630
0.274,634.5159477203662,630
0.276,634.426460450118,630
